rva,va,kind,size,name_mangled,name,source
0x004845b0,0x104845b0,string,0,??_C@_0CE@PIOB@nakata?5check?5?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL?$CL@,"""nakata check +++++++++++++++++++""...",ilk
0x004845d4,0x104845d4,string,0,??_C@_0CL@MNOF@?$CK?$CK?$CK?$CK?5STICK?5MOUTH?5FAILED?5?$CK?$CK?$CK?$CK?$CK?$CK?$CK?$CK@,"""**** STICK MOUTH FAILED ********""...",ilk
0x00484600,0x10484600,string,0,??_C@_0CD@HDJC@?$CK?$CK?$CK?5Before?5stickMouth?5?3?5stick?5of@,"""*** Before stickMouth : stick of""...",ilk
0x00484624,0x10484624,string,0,??_C@_0CB@GEHK@piki?5swallowed?5?$CICollPart?$DN?$CFx?3?$CFs?$CJ?6@,"""piki swallowed (CollPart=%x:%s)\n""...",ilk
0x00484648,0x10484648,string,0,??_C@_0BL@CFJO@try?5to?5swallow?5dead?5piki?$CB?6?$AA@,"""try to swallow dead piki!\n""",ilk
0x00484664,0x10484664,string,0,??_C@_0EC@PPN@c?3?2development?2dolphinpiki?2plugp@,"""c:\\development\\dolphinpiki\\plugp""...",ilk
0x004846a8,0x104846a8,string,0,??_C@_0CP@DNHL@?$DO?$DO?$DO?5piki?5pressed?5?3?5life?5is?5?$CF?41f?5@,""">>> piki pressed : life is %.1f ""...",ilk
0x004846d8,0x104846d8,string,0,??_C@_0BC@EDNE@bomb?5immediately?6?$AA@,"""bomb immediately\n""",ilk
0x004846ec,0x104846ec,string,0,??_C@_0BA@FDCN@CANNOT?5CLIMB?5?$CB?6?$AA@,"""CANNOT CLIMB !\n""",ilk
0x004846fc,0x104846fc,string,0,??_C@_0O@FJPB@CreatureStick?$AA@,"""CreatureStick""",ilk
0x0048470c,0x1048470c,string,0,??_C@_0N@HJKC@karl?5gotti?$CB?6?$AA@,"""karl gotti!\n""",ilk
0x0048471c,0x1048471c,string,0,??_C@_0BH@OFMK@stick?5mouth?5failed?5?$CB?$CB?6?$AA@,"""stick mouth failed !!\n""",ilk
0x00484734,0x10484734,string,0,??_C@_0BC@CGDB@stick?5to?5mouth?$CB?$CB?6?$AA@,"""stick to mouth!!\n""",ilk
0x00484748,0x10484748,string,0,??_C@_0DB@DJGP@startStickMouth?3?3already?5stuck?5t@,"""startStickMouth::already stuck t""...",ilk
0x0048477c,0x1048477c,string,0,??_C@_0BE@GFNO@no?5part?5?3?5table?5poi?$AA@,"""no part : table poi""",ilk
0x00484790,0x10484790,string,0,??_C@_0EB@DPOP@c?3?2development?2dolphinpiki?2plugp@,"""c:\\development\\dolphinpiki\\plugp""...",ilk
0x004847d4,0x104847d4,string,0,??_C@_0CH@PFGG@StartStick?5SPHERE?5?$CK?5?$CI?$CF?41f?5?$CF?41f?5?$CF@,"""StartStick SPHERE * (%.1f %.1f %""...",ilk
0x004847fc,0x104847fc,string,0,??_C@_0BN@HPNI@try?5to?5stick?5?3?5?$DP?5part?9?$DOflag?6?$AA@,"""try to stick : ? part->flag\n""",ilk
0x0048481c,0x1048481c,string,0,??_C@_0BD@EIPP@STICK?5TO?5SPHERE?5?$CB?6?$AA@,"""STICK TO SPHERE !\n""",ilk
0x00484830,0x10484830,string,0,??_C@_0BG@PKAI@stick?5to?5non?9pellet?$CB?6?$AA@,"""stick to non-pellet!\n""",ilk
0x00484848,0x10484848,string,0,??_C@_09CMPJ@error2?5?$CB?6?$AA@,"""error2 !\n""",ilk
0x00484854,0x10484854,string,0,??_C@_08FNG@error?5?$CB?6?$AA@,"""error !\n""",ilk
0x00484860,0x10484860,string,0,??_C@_0CG@CLHI@piki?$CFx?5?3?3?3?3?5stick?5?$CB?5?3?5standType?5@,"""piki%x :::: stick ! : standType ""...",ilk
0x00484888,0x10484888,string,0,??_C@_0BO@JKIH@already?5stick?5to?5something?5?$CB?6?$AA@,"""already stick to something !\n""",ilk
0x004848a8,0x104848a8,string,0,??_C@_0BK@NEIP@course?53?5?3?5prev?5and?5next?6?$AA@,"""course 3 : prev and next\n""",ilk
0x004848c4,0x104848c4,string,0,??_C@_0BA@IOHK@course?52?5?3?5top?6?$AA@,"""course 2 : top\n""",ilk
0x004848d4,0x104848d4,string,0,??_C@_0BB@FAKG@course?51?5?3?5only?6?$AA@,"""course 1 : only\n""",ilk
0x004848e8,0x104848e8,string,0,??_C@_0CA@LHDA@already?5hold?5on?5to?5something?5?$CB?6?$AA@,"""already hold on to something !\n""",ilk
0x00484908,0x10484908,string,0,??_C@_0BH@CCJI@endRope?5called?5?$CB?5?3?5?$CFx?6?$AA@,"""endRope called ! : %x\n""",ilk
0x00484920,0x10484920,vtable,0,??_7Stickers@@6B@,const Stickers::`vftable',ilk
0x00484930,0x10484930,string,0,??_C@_0L@LBHN@mail?5to?5m?6?$AA@,"""mail to m\n""",ilk
0x0048493c,0x1048493c,string,0,??_C@_0BO@PEAG@?5mail?5to?5partol?5?3?5flag?5is?5?$CFx?6?$AA@,""" mail to partol : flag is %x\n""",ilk
0x0048495c,0x1048495c,string,0,??_C@_08KOAJ@?$CFs?5?3?5?$CFs?6?$AA@,"""%s : %s\n""",ilk
0x00484968,0x10484968,string,0,??_C@_0M@KBIL@flag?5is?5?$CFx?6?$AA@,"""flag is %x\n""",ilk
0x00484974,0x10484974,string,0,??_C@_0BG@BDBH@?$CK?$CK?5PIKI?5STICK?5OFF?$CB?$CB?$CB?6?$AA@,"""** PIKI STICK OFF!!!\n""",ilk
0x0048498c,0x1048498c,string,0,??_C@_0BO@COPG@stick?5to?5non?9pellet?5?3?5update?6?$AA@,"""stick to non-pellet : update\n""",ilk
0x004849ac,0x104849ac,string,0,??_C@_0BA@HEND@?$CFx?5lower?5rope?$CB?6?$AA@,"""%x lower rope!\n""",ilk
0x004849bc,0x104849bc,string,0,??_C@_0M@MBIN@lower?5rope?6?$AA@,"""lower rope\n""",ilk
0x004849c8,0x104849c8,string,0,??_C@_0BA@DOHH@?$DN?$DN?$DO?5ratio?5?$DN?5?$CFf?6?$AA@,"""==> ratio = %f\n""",ilk
0x004849d8,0x104849d8,string,0,??_C@_0BA@GOKH@?$CFx?5upper?5rope?$CB?6?$AA@,"""%x upper rope!\n""",ilk
0x004849e8,0x104849e8,string,0,??_C@_0M@LFAB@upper?5rope?6?$AA@,"""upper rope\n""",ilk
0x004849f4,0x104849f4,string,0,??_C@_0BA@KGMN@rope?5kowareta?$CB?6?$AA@,"""rope kowareta!\n""",ilk
0x00484a04,0x10484a04,string,0,??_C@_0O@MOOG@no?5fulc?5obj?$CFd?$AA@,"""no fulc obj%d""",ilk
0x00484a14,0x10484a14,string,0,??_C@_0M@KNDD@no?5fulcrum?6?$AA@,"""no fulcrum\n""",ilk
0x00484a20,0x10484a20,string,0,??_C@_0BB@FLMO@no?5_ropeObject?$CB?6?$AA@,"""no _ropeObject!\n""",ilk
0x00484a34,0x10484a34,vtable,0,??_7RefCountable@@6B@,const RefCountable::`vftable',ilk
0x00484a3c,0x10484a3c,data,4,,param_1_10484a3c,ghidra
0x00484a54,0x10484a54,vtable,0,??_7SluiceAI@@6B@,const SluiceAI::`vftable',ilk
0x00484a64,0x10484a64,vtable,0,??_7Init@SluiceAI@@6B@,const SluiceAI::Init::`vftable',ilk
0x00484a68,0x10484a68,vtable,0,??_7WaitInit@SluiceAI@@6B@,const SluiceAI::WaitInit::`vftable',ilk
0x00484a6c,0x10484a6c,vtable,0,??_7AddCount@SluiceAI@@6B@,const SluiceAI::AddCount::`vftable',ilk
0x00484a70,0x10484a70,vtable,0,??_7ChangeInit@SluiceAI@@6B@,const SluiceAI::ChangeInit::`vftable',ilk
0x00484a74,0x10484a74,vtable,0,??_7MotionDone@SluiceAI@@6B@,const SluiceAI::MotionDone::`vftable',ilk
0x00484a78,0x10484a78,vtable,0,??_7DamageInit@SluiceAI@@6B@,const SluiceAI::DamageInit::`vftable',ilk
0x00484a7c,0x10484a7c,vtable,0,??_7SAIAction@@6B@,const SAIAction::`vftable',ilk
0x00484a80,0x10484a80,string,0,??_C@_0BL@KMFO@GATE?5?$CK?$CK?5MOTION?5DONE?5?$CK?$CK?5?$CFd?6?$AA@,"""GATE ** MOTION DONE ** %d\n""",ilk
0x00484a9c,0x10484a9c,string,0,??_C@_06IPCJ@itemAI?$AA@,"""itemAI""",ilk
0x00484aa4,0x10484aa4,string,0,??_C@_0BL@OLEC@GATE?5?$CK?$CK?5COUNTER?5became?5?$CFd?6?$AA@,"""GATE ** COUNTER became %d\n""",ilk
0x00484ac0,0x10484ac0,string,0,??_C@_0DH@BLCF@?$CK?$CK?$CK?$CK?$CK?$CK?$CK?5CHANGE?5INIT?5?$CK?$CK?$CK?$CK?$CK?$CK?$CK?$CK?5aiC@,"""******* CHANGE INIT ******** aiC""...",ilk
0x00484af8,0x10484af8,vtable,0,??_7PikiHeadAI@@6B@,const PikiHeadAI::`vftable',ilk
0x00484b08,0x10484b08,vtable,0,??_7BounceSound@PikiHeadAI@@6B@,const PikiHeadAI::BounceSound::`vftable',ilk
0x00484b0c,0x10484b0c,vtable,0,??_7BuryInit2@PikiHeadAI@@6B@,const PikiHeadAI::BuryInit2::`vftable',ilk
0x00484b10,0x10484b10,vtable,0,??_7BuryExec2@PikiHeadAI@@6B@,const PikiHeadAI::BuryExec2::`vftable',ilk
0x00484b14,0x10484b14,vtable,0,??_7FlyingEffect@PikiHeadAI@@6B@,const PikiHeadAI::FlyingEffect::`vftable',ilk
0x00484b18,0x10484b18,vtable,0,??_7FlyingExec@PikiHeadAI@@6B@,const PikiHeadAI::FlyingExec::`vftable',ilk
0x00484b1c,0x10484b1c,vtable,0,??_7FlyingCleanup@PikiHeadAI@@6B@,const PikiHeadAI::FlyingCleanup::`vftable',ilk
0x00484b20,0x10484b20,vtable,0,??_7BuryInit@PikiHeadAI@@6B@,const PikiHeadAI::BuryInit::`vftable',ilk
0x00484b24,0x10484b24,vtable,0,??_7BuryExec@PikiHeadAI@@6B@,const PikiHeadAI::BuryExec::`vftable',ilk
0x00484b28,0x10484b28,vtable,0,??_7TaneInit@PikiHeadAI@@6B@,const PikiHeadAI::TaneInit::`vftable',ilk
0x00484b2c,0x10484b2c,vtable,0,??_7TaneExec@PikiHeadAI@@6B@,const PikiHeadAI::TaneExec::`vftable',ilk
0x00484b30,0x10484b30,vtable,0,??_7WaitInit@PikiHeadAI@@6B@,const PikiHeadAI::WaitInit::`vftable',ilk
0x00484b34,0x10484b34,vtable,0,??_7WaitExec@PikiHeadAI@@6B@,const PikiHeadAI::WaitExec::`vftable',ilk
0x00484b38,0x10484b38,vtable,0,??_7GrowupedExec@PikiHeadAI@@6B@,const PikiHeadAI::GrowupedExec::`vftable',ilk
0x00484b3c,0x10484b3c,vtable,0,??_7GrowEffect@PikiHeadAI@@6B@,const PikiHeadAI::GrowEffect::`vftable',ilk
0x00484b40,0x10484b40,vtable,0,??_7KaretaInit@PikiHeadAI@@6B@,const PikiHeadAI::KaretaInit::`vftable',ilk
0x00484b44,0x10484b44,vtable,0,??_7KaretaExec@PikiHeadAI@@6B@,const PikiHeadAI::KaretaExec::`vftable',ilk
0x00484b48,0x10484b48,vtable,0,??_7Dead@PikiHeadAI@@6B@,const PikiHeadAI::Dead::`vftable',ilk
