rva,kind,size,name_mangled,name,source
0x00001d02,thunk,5,?read@Vector2i@@QAEXAAVStream@@@Z,Vector2i::read(Stream &),ida
0x00001d07,thunk,5,?instanceMaterials@BaseShape@@QAEPAVShapeDynMaterials@@H@Z,BaseShape::instanceMaterials(int),ida
0x00001d0c,thunk,5,?handleRelease@SplitBar@@QAEXHH@Z,"SplitBar::handleRelease(int,int)",ida
0x00001d11,thunk,5,?recTraverseMaterials@BaseShape@@QAEXPAVJoint@@PAV?$IDelegate2@PAVJoint@@_I@@@Z,"BaseShape::recTraverseMaterials(Joint *,IDelegate2<Joint *,unsigned __int32> *)",ida
0x00001d16,thunk,5,??4UIWindow@@QAEAAV0@ABV0@@Z,UIWindow::operator=(UIWindow const &),ida
0x00001d1b,thunk,5,?setAmbient@Graphics@@UAEXXZ,Graphics::setAmbient(void),ida
0x00001d20,thunk,5,??0Mesh@@QAE@XZ,Mesh::Mesh(void),ida
0x00001d25,thunk,5,?isSame@String@@QAE_NPAV1@@Z,String::isSame(String *),ida
0x00001d2a,thunk,5,??4GfxobjInfo@@QAEAAV0@ABV0@@Z,GfxobjInfo::operator=(GfxobjInfo const &),ida
0x00001d2f,thunk,5,??0VertSplitBar@@QAE@PAVUIWindow@@0KH@Z,"VertSplitBar::VertSplitBar(UIWindow *,UIWindow *,ulong,int)",ida
0x00001d34,thunk,5,?makeLookat@Matrix4f@@QAEXAAVVector3f@@0PAV2@@Z,"Matrix4f::makeLookat(Vector3f &,Vector3f &,Vector3f *)",ida
0x00001d39,thunk,5,??4Joint@@QAEAAV0@ABV0@@Z,Joint::operator=(Joint const &),ida
0x00001d3e,thunk,5,?recShowHierarchy@Joint@@QAEXXZ,Joint::recShowHierarchy(void),ida
0x00001d43,thunk,5,,sub_10001D43,ida
0x00001d48,thunk,5,?initData@AnimCacheInfo@@QAEXXZ,AnimCacheInfo::initData(void),ida
0x00001d4d,thunk,5,??0LightFlare@@QAE@XZ,LightFlare::LightFlare(void),ida
0x00001d52,thunk,5,??4Vector3f@@QAEAAV0@ABV0@@Z,Vector3f::operator=(Vector3f const &),ida
0x00001d57,thunk,5,?set@Vector3f@@QAEXABV1@@Z,Vector3f::set(Vector3f const &),ida
0x00001d5c,thunk,5,??0CollGroup@@QAE@XZ,CollGroup::CollGroup(void),ida
0x00001d61,thunk,5,??1GameApp@@UAE@XZ,GameApp::~GameApp(void),ida
0x00001d66,thunk,5,?animate@AnimContext@@UAEXM@Z,AnimContext::animate(float),ida
0x00001d6b,thunk,5,?EndGroup@AgeServer@@QAEXXZ,AgeServer::EndGroup(void),ida
0x00001d70,thunk,5,??4LightDataInfo@@QAEAAV0@ABV0@@Z,LightDataInfo::operator=(LightDataInfo const &),ida
0x00001d75,thunk,5,?setOnChange@AgeServer@@QAEXPAVIDelegate@@@Z,AgeServer::setOnChange(IDelegate *),ida
0x00001d7a,thunk,5,??4KnotPoint@@QAEAAV0@ABV0@@Z,KnotPoint::operator=(KnotPoint const &),ida
0x00001d7f,thunk,5,??0UIMgr@@QAE@XZ,UIMgr::UIMgr(void),ida
0x00001d84,thunk,5,?addLight@LightGroup@@QAEXAAVVector3f@@M@Z,"LightGroup::addLight(Vector3f &,float)",ida
0x00001d89,thunk,5,?setFlags@Node@@QAEXH@Z,Node::setFlags(int),ida
